[yt-subtitles] Using cached video: KAD PORASTEM BIĆU KENGUR (2004) - domaći film (HD).mp4
[yt-subtitles] Extracting audio for transcription...
[yt-subtitles] Found 206 speech chunk(s).
Model: openai_whisper-small
  Downloading.... done
Model path: /Users/dsa/.yt-subtitles/models/models/argmaxinc/whisperkit-coreml/openai_whisper-small
Loading model (cached)
Model ready (1.4s). Compute: Mel=CPU+GPU, AudioEnc=CPU+ANE, TextDec=CPU+ANE
Transcribing chunk 75/206 (1.8s)... ok, 775ms wall, 2.3x realtime
Transcribing chunk 76/206 (7.0s)... ok, 1.6s wall, 4.3x realtime
Transcribing chunk 77/206 (190.9s)... ok, 81.5s wall, 2.3x realtime
Transcribing chunk 78/206 (145.0s)... ok, 46.1s wall, 3.1x realtime
Transcribing chunk 79/206 (3.9s)... ok, 770ms wall, 5.1x realtime
Transcribing chunk 80/206 (4.7s)... ok, 930ms wall, 5.0x realtime
Transcribing chunk 81/206 (4.3s)... ok, 625ms wall, 6.9x realtime
Transcribing chunk 82/206 (6.7s)... ok, 1.5s wall, 4.3x realtime
Transcribing chunk 83/206 (5.3s)... ok, 669ms wall, 8.0x realtime
Transcribing chunk 84/206 (21.6s)... ok, 3.6s wall, 6.1x realtime
Transcribing chunk 85/206 (41.0s)... ok, 4.3s wall, 9.6x realtime
Transcribing chunk 86/206 (5.4s)... ok, 623ms wall, 8.7x realtime
Transcribing chunk 87/206 (7.8s)... ok, 2.5s wall, 3.1x realtime
Transcribing chunk 88/206 (8.2s)... ok, 1.3s wall, 6.5x realtime
Transcribing chunk 89/206 (11.6s)... ok, 2.6s wall, 4.5x realtime
Transcribing chunk 90/206 (6.6s)... ok, 3.4s wall, 1.9x realtime
Transcribing chunk 91/206 (55.8s)... ok, 10.1s wall, 5.5x realtime
Transcribing chunk 92/206 (10.7s)... ok, 1.3s wall, 8.4x realtime
Transcribing chunk 93/206 (5.9s)... ok, 396ms wall, 14.9x realtime
Transcribing chunk 94/206 (37.2s)... ok, 5.0s wall, 7.5x realtime
Transcribing chunk 95/206 (9.8s)... ok, 902ms wall, 10.8x realtime
Transcribing chunk 96/206 (13.8s)... ok, 2.3s wall, 5.9x realtime
Transcribing chunk 97/206 (3.6s)... ok, 572ms wall, 6.3x realtime
Transcribing chunk 98/206 (8.2s)... ok, 2.4s wall, 3.4x realtime
Transcribing chunk 99/206 (5.5s)... ok, 1.3s wall, 4.1x realtime
Transcribing chunk 100/206 (7.3s)... ok, 3.9s wall, 1.9x realtime
Transcribing chunk 101/206 (2.8s)... ok, 1.2s wall, 2.3x realtime
Transcribing chunk 102/206 (4.9s)... ok, 1.0s wall, 4.9x realtime
Transcribing chunk 103/206 (66.1s)... ok, 8.2s wall, 8.1x realtime
Transcribing chunk 104/206 (200.8s)... ok, 74.2s wall, 2.7x realtime
Transcribing chunk 105/206 (4.9s)... ok, 1.8s wall, 2.8x realtime
Transcribing chunk 106/206 (4.8s)... ok, 612ms wall, 7.8x realtime
Transcribing chunk 107/206 (2.8s)... ok, 2.6s wall, 1.1x realtime
